save_name,avg_recall,search_duration,total_duration
cpu-k100-query1,0.060000,1867,0
gpu_non_opt-k100-query1,0.060000,9303,9995
gpu_shared_mem-k100-query1,0.060000,6405,6818
gpu_eucdist_opt-k100-query1,0.060000,3485,3899
gpu_bloom_pq-k100-query1,0.060000,3716,4121
gpu_bloom_smmh-k100-query1,0.060000,3799,4210
cpu-k100-query2,0.080000,3784,0
gpu_non_opt-k100-query2,0.080000,5118,5523
gpu_shared_mem-k100-query2,0.080000,4930,5318
gpu_eucdist_opt-k100-query2,0.080000,3138,3527
gpu_bloom_pq-k100-query2,0.080000,3960,4386
gpu_bloom_smmh-k100-query2,0.050000,3976,4436
cpu-k100-query3,0.086667,5743,0
gpu_non_opt-k100-query3,0.086667,5368,5780
gpu_shared_mem-k100-query3,0.086667,5138,5535
gpu_eucdist_opt-k100-query3,0.086667,3322,3722
gpu_bloom_pq-k100-query3,0.086667,4010,4444
gpu_bloom_smmh-k100-query3,0.033333,4257,4732
cpu-k100-query4,0.082500,7778,0
gpu_non_opt-k100-query4,0.077500,5569,6139
gpu_shared_mem-k100-query4,0.082500,5317,5741
gpu_eucdist_opt-k100-query4,0.082500,3298,3699
gpu_bloom_pq-k100-query4,0.082500,3827,4214
gpu_bloom_smmh-k100-query4,0.017500,3656,4070
cpu-k100-query5,0.080000,11145,0
gpu_non_opt-k100-query5,0.064000,5690,6182
gpu_shared_mem-k100-query5,0.066000,5296,5704
gpu_eucdist_opt-k100-query5,0.068000,3287,3682
gpu_bloom_pq-k100-query5,0.080000,3758,4145
gpu_bloom_smmh-k100-query5,0.014000,3629,4155
cpu-k100-query6,0.070000,11553,0
gpu_non_opt-k100-query6,0.040000,5492,6002
gpu_shared_mem-k100-query6,0.041667,5418,5870
gpu_eucdist_opt-k100-query6,0.041667,3286,3693
gpu_bloom_pq-k100-query6,0.070000,3714,4114
gpu_bloom_smmh-k100-query6,0.003333,3653,4123
cpu-k100-query7,0.068571,13574,0
gpu_non_opt-k100-query7,0.028571,5681,6141
gpu_shared_mem-k100-query7,0.031429,5265,5678
gpu_eucdist_opt-k100-query7,0.031429,3527,3959
gpu_bloom_pq-k100-query7,0.068571,3717,4119
gpu_bloom_smmh-k100-query7,0.008571,3757,4206
cpu-k100-query8,0.068750,15361,0
gpu_non_opt-k100-query8,0.026250,5628,6063
gpu_shared_mem-k100-query8,0.027500,5096,5499
gpu_eucdist_opt-k100-query8,0.027500,3307,3695
gpu_bloom_pq-k100-query8,0.068750,3641,4034
gpu_bloom_smmh-k100-query8,0.008750,3455,3902
cpu-k100-query9,0.065556,17240,0
gpu_non_opt-k100-query9,0.021111,6091,6528
gpu_shared_mem-k100-query9,0.021111,5081,5466
gpu_eucdist_opt-k100-query9,0.021111,3156,3533
gpu_bloom_pq-k100-query9,0.065556,3569,3946
gpu_bloom_smmh-k100-query9,0.004444,3698,4161
cpu-k100-query10,0.066000,19778,0
gpu_non_opt-k100-query10,0.024000,5799,6217
gpu_shared_mem-k100-query10,0.024000,5397,5804
gpu_eucdist_opt-k100-query10,0.023000,3302,3703
gpu_bloom_pq-k100-query10,0.066000,3688,4079
gpu_bloom_smmh-k100-query10,0.007000,3816,4279
cpu-k100-query11,0.063636,21264,0
gpu_non_opt-k100-query11,0.020000,6053,6510
gpu_shared_mem-k100-query11,0.020000,5286,5693
gpu_eucdist_opt-k100-query11,0.018182,3296,3687
gpu_bloom_pq-k100-query11,0.063636,3675,4096
gpu_bloom_smmh-k100-query11,0.003636,3887,4387
cpu-k100-query12,0.061667,24276,0
gpu_non_opt-k100-query12,0.015833,6750,7211
gpu_shared_mem-k100-query12,0.015833,5459,5910
gpu_eucdist_opt-k100-query12,0.015833,3439,3852
gpu_bloom_pq-k100-query12,0.061667,4061,4468
gpu_bloom_smmh-k100-query12,0.003333,3092,3568
cpu-k100-query13,0.061538,26875,0
gpu_non_opt-k100-query13,0.016154,6062,6514
gpu_shared_mem-k100-query13,0.016154,5382,5821
gpu_eucdist_opt-k100-query13,0.016154,3478,3896
gpu_bloom_pq-k100-query13,0.061538,3786,4196
gpu_bloom_smmh-k100-query13,0.004615,3546,4030
cpu-k100-query14,0.061429,27929,0
gpu_non_opt-k100-query14,0.014286,6301,6751
gpu_shared_mem-k100-query14,0.013571,5221,5607
gpu_eucdist_opt-k100-query14,0.014286,3228,3612
gpu_bloom_pq-k100-query14,0.061429,3746,4136
gpu_bloom_smmh-k100-query14,0.004286,3781,4287
cpu-k100-query15,0.060000,30760,0
gpu_non_opt-k100-query15,0.013333,6658,7188
gpu_shared_mem-k100-query15,0.012667,5919,6618
gpu_eucdist_opt-k100-query15,0.013333,5405,6156
gpu_bloom_pq-k100-query15,0.060000,6081,6914
gpu_bloom_smmh-k100-query15,0.002667,5499,6357
cpu-k100-query16,0.058750,34089,0
gpu_non_opt-k100-query16,0.011875,6180,6750
gpu_shared_mem-k100-query16,0.011875,5806,6333
gpu_eucdist_opt-k100-query16,0.012500,3856,4339
gpu_bloom_pq-k100-query16,0.058750,4076,4528
gpu_bloom_smmh-k100-query16,0.002500,4493,5083
cpu-k100-query17,0.058235,38652,0
gpu_non_opt-k100-query17,0.010588,6702,7232
